13:48:48 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 59.842041015625 ms
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:52 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:48:53 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 108.454833984375 ms
13:49:00 [extension:sw] INFO  RPC (npm:@metamask/institutional-wallet-snap): Object -> Object
13:49:00 [extension:sw] INFO  RPC (npm:@metamask/institutional-wallet-snap): Object -> Object
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
13:49:06 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
