08:51:48 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 53.001953125 ms
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:51:53 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
