17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:23 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
